"Type","Op","Size","Time"
np,arange,2,0.000002306
np,setting,2,0.000000186
np,getting,2,0.000000183
np,empty,4,0.000003025
np,arange,4,0.000002622
np,setting,4,0.000000183
np,getting,4,0.000000183
np,empty,8,0.000003029
np,arange,8,0.000002644
np,setting,8,0.000000185
np,getting,8,0.000000183
np,empty,16,0.000003017
np,arange,16,0.000002712
np,setting,16,0.000000181
np,getting,16,0.000000186
np,empty,32,0.000003026
np,arange,32,0.000002771
np,setting,32,0.000000183
np,getting,32,0.000000185
np,empty,64,0.000005104
np,arange,64,0.000004515
np,setting,64,0.000000185
np,getting,64,0.000000182
np,empty,128,0.000004356
np,arange,128,0.000004944
np,setting,128,0.000000187
np,getting,128,0.000000183
np,empty,256,0.000004117
np,arange,256,0.000005470
np,setting,256,0.000000182
np,getting,256,0.000000183
np,empty,512,0.000004086
np,arange,512,0.000006581
np,setting,512,0.000000179
np,getting,512,0.000000177
np,empty,1024,0.000004078
np,arange,1024,0.000009036
np,setting,1024,0.000000185
np,getting,1024,0.000000182
np,empty,2048,0.000004039
np,arange,2048,0.000013803
np,setting,2048,0.000000183
np,getting,2048,0.000000183
np,empty,4096,0.000004189
np,arange,4096,0.000023295
np,setting,4096,0.000000178
np,getting,4096,0.000000177
np,empty,8192,0.000004247
np,arange,8192,0.000042497
np,setting,8192,0.000000181
np,getting,8192,0.000000185
np,empty,16384,0.000007860
np,arange,16384,0.000086065
np,setting,16384,0.000000176
np,getting,16384,0.000000177
np,empty,32768,0.000006251
np,arange,32768,0.000166962
np,setting,32768,0.000000185
np,getting,32768,0.000000186
np,empty,65536,0.000007167
np,arange,65536,0.000330768
np,setting,65536,0.000000175
np,getting,65536,0.000000177
np,empty,131072,0.000007321
np,arange,131072,0.000651085
np,setting,131072,0.000000184
np,getting,131072,0.000000183
np,empty,262144,0.000013449
np,arange,262144,0.001300942
np,setting,262144,0.000000183
np,getting,262144,0.000000186
np,empty,524288,0.000014357
np,arange,524288,0.002559067
np,setting,524288,0.000000176
np,getting,524288,0.000000177
np,empty,1048576,0.000015272
np,arange,1048576,0.005208172
np,setting,1048576,0.000000184
np,getting,1048576,0.000000185
np,empty,2097152,0.000015675
np,arange,2097152,0.010455861
np,setting,2097152,0.000000181
np,getting,2097152,0.000000176
np,empty,4194304,0.000026676
np,arange,4194304,0.028277210
np,setting,4194304,0.000000182
np,getting,4194304,0.000000181
np,empty,8388608,0.000025013
np,arange,8388608,0.056208659
np,setting,8388608,0.000000185
np,getting,8388608,0.000000182
np,empty,16777216,0.000022984
np,arange,16777216,0.111159731
np,setting,16777216,0.000000181
np,getting,16777216,0.000000181
np,empty,33554432,0.000027036
np,arange,33554432,0.221426938
np,setting,33554432,0.000000177
np,getting,33554432,0.000000177
np,empty,67108864,0.000025742
np,arange,67108864,0.436446558
np,setting,67108864,0.000000182
np,getting,67108864,0.000000181
np,empty,134217728,0.000032937
np,arange,134217728,0.860239413
np,setting,134217728,0.000000186
np,getting,134217728,0.000000182
mpi_np,empty,1,0.000072516
mpi_np,arange,1,0.000125891
mpi_np,local_slicing,1,0.000000962
mpi_np,local_setting,1,0.000000610
mpi_np,global_setting,1,0.000009076
mpi_np,local_getting,1,0.000000578
mpi_np,global_getting,1,0.000177939
mpi_np,empty,2,0.000070916
mpi_np,arange,2,0.000124835
mpi_np,local_slicing,2,0.000000976
mpi_np,local_setting,2,0.000000621
mpi_np,global_setting,2,0.000009140
mpi_np,local_getting,2,0.000000584
mpi_np,global_getting,2,0.000177891
mpi_np,empty,4,0.000070274
mpi_np,arange,4,0.000125034
mpi_np,local_slicing,4,0.000000950
mpi_np,local_setting,4,0.000000616
mpi_np,global_setting,4,0.000009002
mpi_np,local_getting,4,0.000000578
mpi_np,global_getting,4,0.000178494
mpi_np,empty,8,0.000070842
mpi_np,arange,8,0.000124859
mpi_np,local_slicing,8,0.000000954
mpi_np,local_setting,8,0.000000613
mpi_np,global_setting,8,0.000008979
mpi_np,local_getting,8,0.000000581
mpi_np,global_getting,8,0.000179008
mpi_np,empty,16,0.000071168
mpi_np,arange,16,0.000125115
mpi_np,local_slicing,16,0.000000981
mpi_np,local_setting,16,0.000000592
mpi_np,global_setting,16,0.000008984
mpi_np,local_getting,16,0.000000574
